                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.61664,                0.44998,                0.96971,                0.89565,                0.74212,                0.85401,                0.67191,                0.91133,                0.83418,                 1.3027,               0.000812,               0.000812,               0.000812
                     38,                 0.6039,                0.45358,                0.97362,                0.88752,                0.74026,                0.83872,                0.64844,                0.91064,                 0.8054,                 1.3328,               0.000779,               0.000779,               0.000779
                     39,                0.61733,                0.44328,                0.97229,                0.88362,                0.76067,                0.85561,                0.66493,                0.91772,                0.77972,                 1.3223,               0.000746,               0.000746,               0.000746
                     40,                0.60157,                0.44535,                0.97244,                 0.8835,                0.78791,                0.86115,                0.67115,                0.92444,                0.76425,                 1.3096,               0.000713,               0.000713,               0.000713
                     41,                 0.5884,                 0.4304,                0.96479,                0.85607,                0.79406,                 0.8631,                0.67381,                0.89266,                0.75126,                 1.2859,                0.00068,                0.00068,                0.00068
                     42,                0.57725,                0.41492,                0.96151,                0.90025,                 0.7367,                0.84422,                0.66375,                0.87892,                0.82881,                 1.2913,               0.000647,               0.000647,               0.000647
                     43,                 0.5629,                0.41528,                0.95927,                0.85034,                0.77922,                0.85642,                 0.6688,                0.88843,                0.79547,                 1.2841,               0.000614,               0.000614,               0.000614
                     44,                0.58774,                0.42591,                0.96201,                0.89563,                 0.7718,                0.85996,                0.66285,                0.89927,                0.74575,                 1.3043,               0.000581,               0.000581,               0.000581
                     45,                0.56342,                 0.4054,                0.95072,                0.87483,                0.77798,                0.84616,                0.65464,                0.91804,                0.80596,                 1.3214,               0.000548,               0.000548,               0.000548
                     46,                0.55958,                0.40325,                 0.9484,                 0.8968,                 0.7718,                0.86824,                0.67665,                0.88934,                 0.7459,                 1.2954,               0.000515,               0.000515,               0.000515
                     47,                0.55573,                0.40755,                0.95413,                0.84756,                0.79592,                0.86114,                0.68082,                   0.89,                0.79497,                  1.291,               0.000482,               0.000482,               0.000482
                     48,                0.55391,                0.40112,                0.95314,                0.89179,                0.76438,                0.83956,                0.66587,                0.90318,                0.82774,                 1.3133,               0.000449,               0.000449,               0.000449
                     49,                0.55407,                0.39798,                0.94895,                0.87985,                0.78479,                0.86267,                0.66738,                0.88369,                0.76273,                 1.2931,               0.000416,               0.000416,               0.000416
                     50,                0.54007,                 0.3904,                0.94234,                0.86265,                0.76623,                0.85312,                0.67338,                0.90106,                0.87824,                    1.3,               0.000383,               0.000383,               0.000383
                     51,                0.51353,                0.35815,                0.91233,                 0.8513,                0.74583,                0.84326,                0.67231,                 0.8945,                0.84342,                 1.2996,                0.00035,                0.00035,                0.00035
                     52,                0.51117,                0.34911,                0.91967,                0.87674,                 0.7786,                0.85794,                0.67674,                0.90329,                0.86055,                 1.2924,               0.000317,               0.000317,               0.000317
                     53,                0.48807,                0.33356,                0.90305,                0.89056,                0.75489,                0.84952,                 0.6683,                0.91126,                0.84927,                  1.317,               0.000284,               0.000284,               0.000284
                     54,                0.48205,                0.33408,                 0.9028,                0.84585,                0.78479,                0.85292,                0.67709,                0.90226,                0.82331,                 1.3319,               0.000251,               0.000251,               0.000251
                     55,                0.47622,                 0.3226,                  0.903,                0.88737,                0.76252,                0.85677,                0.67761,                0.90096,                0.82452,                 1.3293,               0.000218,               0.000218,               0.000218
                     56,                0.47063,                0.31813,                0.89871,                  0.885,                0.74583,                0.84742,                0.68066,                0.89686,                0.89054,                 1.3287,               0.000185,               0.000185,               0.000185
                     57,                0.47634,                0.31521,                0.89679,                0.87634,                 0.7718,                0.85213,                0.67968,                0.89773,                 0.8776,                 1.3356,               0.000152,               0.000152,               0.000152
                     58,                0.45635,                0.31523,                0.88902,                0.86446,                0.77737,                0.86197,                 0.6939,                0.87132,                   0.88,                 1.3045,               0.000119,               0.000119,               0.000119
                     59,                 0.4538,                0.30813,                0.88819,                0.86049,                0.78959,                0.86104,                0.69537,                0.87668,                0.84199,                 1.3232,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.44413,                 0.3012,                0.89222,                0.88377,                0.76994,                0.85742,                0.69359,                0.87034,                0.83123,                 1.3145,                5.3e-05,                5.3e-05,                5.3e-05
